Index,star_name,galaxy_name,size,color,distance_from_earth,likelihood_of_life,num_surr_planets,type_of_star,p_life
18649,Bayo naro,Beye qaju,23.218408471659007,#37D70F,6732763434.28062,91.19996,8,Neutron,91
18657,Bube kane,Xigi dulo,1.872775303461026,#AA15E1,6842174798.8015785,83.721466,7,Red Dwarf,83
18658,Moti vece,Hegi yumo,37.316274145073606,#1B2E65,7561284990.776416,73.53059,13,Main Sequence,73
18659,Zihu yugo,Kaba nopo,28.611377041312924,#BBE13D,10543777857.40301,88.76509,5,Main Sequence,88
18662,Cezo teja,Siyi huba,25.343364199378,#ACC433,8299845632.709555,47.011868,19,Supergiant,47
18668,Meqi qere,Yami vefu,38.936688797742285,#F7F3CB,10073438366.814095,21.838097,6,Red Dwarf,21
18669,Codu lima,Biha leha,5.614828161318324,#0833B2,1729867391.188658,63.590603,4,White Dwarf,63
18671,Lixu daku,Doya mesi,16.331929108792792,#84CE76,6915214134.342465,72.66887,18,Supergiant,72
18674,Yeme doce,Qaji soxo,0.5067534933970104,#5EE84B,9162515310.767925,88.10158,1,Supergiant,88
18675,Josi qega,Noko vepu,13.6630849682691,#F780CF,2780857578.7933025,96.44282,12,Red Dwarf,96
18677,Mupo loja,Veya xixi,4.592064844629252,#3F3245,12689745184.315145,53.993793,4,Red Dwarf,53
18678,Basi tonu,Ciki bemu,9.0653461759255,#83F374,9054826479.961033,12.013164,5,White Dwarf,12
18682,Nudi sota,Rami poco,42.04887100635241,#BBC50B,9527520740.891275,3.2467299,15,Neutron,3
18685,Powo cege,Civa hafi,11.139248155785694,#E1BAF2,9666857427.44986,48.80523,18,White Dwarf,48
18687,Sede mari,Cewu liju,7.667362115534355,#74EB13,148539896.9257161,43.758766,4,Main Sequence,43
18688,Zapa seja,Yape qona,21.811588787032484,#59223E,5738051815.7054405,21.27963,19,Neutron,21
18690,Cawi vice,Jozu weyu,35.74131679415964,#6045B7,5380930922.195013,36.113777,10,Giant,36
18697,Qalu xibe,Regu peho,28.776584430264382,#99B7FD,4012198763.6840606,2.237539,9,Red Dwarf,2
18700,Noje yohi,Joco fezo,18.157443407253567,#72C77E,8212276741.047782,28.077288,15,White Dwarf,28
18702,Peze zohi,Zovo paza,40.02938316075573,#B7B24F,7740751782.627397,71.88547,10,White Dwarf,71
18708,Viho zava,Yila qire,5.404450034463601,#0AB9CC,4642359922.506991,52.65963,3,White Dwarf,52
18711,Lola bago,Seke xaqu,43.94146892450411,#777FFC,5813575193.977226,62.26464,4,Giant,62
18721,Qaso wowa,Civo cemu,36.731851778857646,#2B9CB9,9748689902.025446,85.7722,12,Supergiant,85
18724,Toni dipi,Gobu qoli,7.9279828371695285,#B1191B,2563009377.0476723,16.942541,18,Supergiant,16
18728,Wudi gena,Kuza qofe,43.51097386346441,#88BFBD,8728226453.937973,35.52433,9,Supergiant,35
18729,Veju huxo,Huyu xoxi,20.25429334969807,#79FB9A,9625348092.147707,89.57819,9,Supergiant,89
18741,Vobo noko,Xomo rezi,33.99497037967099,#57927B,10224803807.079967,86.66861,19,Red Dwarf,86
18742,Devo nayu,Juri hilo,25.594170550260596,#824635,1005605897.9583524,48.25754,6,Giant,48
18744,Heso dona,Paqu yego,19.002559955873423,#F766E6,734440404.6538357,92.655235,4,White Dwarf,92
18747,Xacu vezu,Xipa nopu,20.064578244391537,#4A8E93,5395252496.9555235,25.267626,0,Main Sequence,25
18754,Yiho liqo,Came ruza,6.58009078199481,#9E59A4,5123265675.173123,20.687975,12,Main Sequence,20
18758,Qure niva,Yevu hiyo,36.181542449484475,#B84A36,4515680730.077805,63.057377,0,White Dwarf,63
18762,Xabo xege,Qucu qice,37.34440712196533,#9428B4,4904771482.02117,88.60529,14,Main Sequence,88
18763,Kuma hani,Keju dubu,3.7028122910688333,#76998F,4034729597.321323,70.89504,16,White Dwarf,70
18765,Waca qazu,Neqo jope,5.296074422139804,#D76002,12090328514.510365,92.42021,6,Supergiant,92
18770,Liji wise,Duli kofu,9.051582737577945,#29351E,5069034490.321867,36.2577,1,Neutron,36
18771,Vula nuxe,Rute bato,19.952512464366485,#A92DFD,10810821610.754946,48.376198,10,Supergiant,48
18772,Zopo zoqo,Bixo suqa,25.618421283114845,#D5738C,10803810346.029839,76.754196,2,Neutron,76
18775,Rile leni,Fopa ruqo,42.47837803533664,#F43351,8294574758.160023,89.61958,1,Main Sequence,89
18778,Zojo laba,Duyi moci,29.343527982678083,#0F7136,6536661532.3487215,81.45825,3,White Dwarf,81
18782,Bajo huci,Huve mahi,42.68447422803469,#F588CD,4563735993.896054,29.711224,2,Red Dwarf,29
18786,Tevo xire,Wigi mofu,30.035598371269128,#5B4A73,3106143673.727094,85.50098,7,Main Sequence,85
18789,Dimi qapa,Neha gayu,8.54191563490978,#8A8DB5,3366092085.7753897,10.087338,18,Giant,10
18793,Jame cila,Hemi fuvi,38.95935999402323,#4E34DE,11922707177.78844,57.28367,18,Giant,57
18795,Wule juko,Fowa bala,7.108821384978367,#009BFB,7078080335.549592,74.075386,13,Neutron,74
18810,Duyo rove,Pawo nole,15.057181589305221,#561C07,2957673814.9950767,6.2184157,19,Giant,6
18811,Gome kixo,Safa foxu,16.68106858560354,#ED4E88,196273932.2604749,60.39777,19,Giant,60
18812,Xubi yasa,Mine sobi,26.80575023689647,#7CA2B1,5362231928.947327,83.62088,14,Main Sequence,83
18813,Daze voku,Xohe voca,29.744361930015366,#31BC82,5352117366.016731,55.342396,9,Main Sequence,55
18819,Nule roga,Kelo ruli,9.60479757445681,#9FC5C6,2351545666.707776,12.426332,11,Red Dwarf,12
18821,Caqi pisu,Suji fuko,33.811477080569986,#84D5D6,2133878281.5675826,46.050354,7,Giant,46
18824,Fuge qica,Siho wowi,10.24628444797037,#4916A0,1441097203.909038,71.1263,16,Supergiant,71
18828,Tavi jubo,Yiri reti,38.163671056037046,#13DB97,12924827579.614286,65.101364,1,Supergiant,65
18831,Niko cawi,Cela quji,5.044784515918867,#B66C99,11602686363.803133,17.969585,13,Neutron,17
18838,Madi tabo,Yote muxu,16.94743848341549,#924394,5835898240.715379,28.865307,3,White Dwarf,28
18840,Zogo nafu,Bime taki,36.94094767062565,#0355E2,12137607284.181383,3.2709699,9,Red Dwarf,3
18846,Cuye tohi,Gutu cuso,47.620116595915036,#9DCB2B,12098090794.700897,88.2549,6,White Dwarf,88
18848,Yipu juge,Tiye vucu,17.478719978687362,#1E7220,12771517908.594603,49.031654,6,Giant,49
18849,Qeqa zoro,Rexo fuho,21.250399686385766,#6AC988,6565740678.195163,5.951284,4,Supergiant,5
18853,Coci vofo,Xuhe rive,48.31238253838586,#A340A6,11938408691.379644,79.32487,2,Main Sequence,79
18861,Voxa romi,Yoru pogu,6.258939081630286,#CDD5AC,8755130863.195808,32.117752,14,White Dwarf,32
18862,Yibe kana,Godu paja,38.67395847700047,#19B2AB,11588128903.750002,76.70562,4,White Dwarf,76
18864,Faka yaga,Dopa nema,36.515654047998666,#F42DAF,11362681273.70843,60.33358,3,White Dwarf,60
18866,Hiji xeje,Heri puju,17.52775006964629,#E46889,5418982878.117924,14.501485,0,White Dwarf,14
18868,Nigo tila,Jago nako,3.1882366504850115,#AC68AB,3668360115.6734285,84.73042,9,Main Sequence,84
18869,Yaba yula,Kogi cewa,45.84711648788531,#E9201E,7423575713.644163,25.989607,11,Red Dwarf,25
18871,Nonu poqu,Wiya pusa,25.61185684473275,#3EDC75,474820747.53662735,21.220936,0,Giant,21
18874,Xecu lita,Kude leyo,14.800114028884547,#B20398,7524531017.624722,14.919825,3,White Dwarf,14
18876,Fori fuve,Vofi cobu,37.47943889666021,#2F6198,1602249461.1583304,46.978683,7,Giant,46
18878,Giqu kavu,Lozu gixo,9.877519692149024,#62E878,5401152522.413157,33.88597,16,Red Dwarf,33
18879,Kuho sawa,Yotu suto,10.076930898135211,#E7C2AA,7406685214.188578,54.083965,17,Giant,54
18881,Jave wana,Cago sapa,9.841091481986803,#B5ADAE,5970111314.976471,83.93866,9,Red Dwarf,83
18884,Ruho dume,Maja wibe,39.00872783749757,#E45D9C,9247695971.519337,74.56774,6,Neutron,74
18887,Xoje zusi,Niba saxo,39.452878092215414,#906C7B,3989084334.9664717,20.111258,17,Giant,20
18889,Jafu woyi,Zaxu gihi,42.911834221596436,#E580D3,7254517507.497012,41.74051,3,Supergiant,41
18891,Guno quru,Wita hewu,27.369555957484828,#94B059,4089402632.8649144,67.78939,8,White Dwarf,67
18892,Vove cidu,Nege yoyo,35.65599141131656,#7F5078,11477567362.778776,37.941204,11,Main Sequence,37
18902,Xofu nuci,Wuje boko,47.36558444697214,#50A5FF,4343118291.174942,32.612446,2,Red Dwarf,32
18903,Balo cojo,Naxi suli,45.57858588516916,#DFF122,1123405000.8352268,37.769497,9,Giant,37
18904,Tufa yate,Kiva bala,21.55557476934654,#ACE251,81276985.5068063,10.882453,7,Supergiant,10
18905,Puqo gamu,Beda cosu,13.946178198333092,#2E5EE2,1365124731.496059,3.8096654,17,Neutron,3
18907,Bogo disu,Xaqi dime,29.934985695550516,#C32679,457580438.93888104,86.89189,11,Neutron,86
18912,Suva hero,Soco civa,43.636605321155955,#F397E1,5048329293.862731,59.981182,11,White Dwarf,59
18914,Goho bufo,Rapu biro,7.109783584715784,#25FF9F,11936312942.346401,62.737404,6,Main Sequence,62
18920,Xonu legi,Mogo pino,34.68384305282822,#DB8536,5860236458.810034,98.80645,7,Supergiant,98
18921,Bija buge,Giyu hulo,5.671098878242562,#0F2AD0,7994453467.219666,1.6951036,5,Supergiant,1
18930,Gaxi haju,Hiha taxe,23.666648422335612,#807A68,1426707305.1748776,19.27809,15,White Dwarf,19
18932,Yiku holo,Muca lafo,4.8299437376089935,#E6EDAB,11556938994.316256,74.037445,9,Main Sequence,74
18935,Faxo biyo,Maqe lero,18.01913958866254,#F6CF1B,12117293551.304018,18.172728,10,Neutron,18
18936,Lidu weco,Toyo guwa,27.86966138032418,#3241AD,3511005403.091839,17.057947,19,Supergiant,17
18940,Vasu tasa,Hehu rudu,29.97202406308512,#B3B6C6,1961494624.5246844,47.696373,19,Giant,47
18943,Jepu jato,Bume muko,19.395754036469782,#954293,11510913037.503666,1.5022045,19,Supergiant,1
18947,Lojo vuve,Nebu giwo,4.614667631519559,#896124,10829964496.788338,84.75187,14,Giant,84
18954,Qede qopi,Luda dumu,39.64238652411332,#B9320D,12929118390.638758,96.56182,18,Red Dwarf,96
18956,Nowo jova,Nefa pigu,4.382553915925701,#C72AA5,3879759547.670362,51.302963,7,Red Dwarf,51
18958,Huqi fize,Zira pugi,42.5112054955176,#689893,7617239503.337269,41.753498,3,Red Dwarf,41
18961,Hacu denu,Mehe nico,45.934236493067985,#054B9E,6291026418.310118,26.187529,2,Supergiant,26
18977,Puki kiso,Kuku hugo,49.12615663022556,#AD2E82,3901524579.167114,87.97696,12,Supergiant,87
18981,Zoto gegu,Teme gake,40.69217978102751,#0B5B6D,8566496092.381585,58.292007,9,Neutron,58
18984,Bero qefo,Joku riri,15.143736728495135,#26AE8D,4640973501.243155,54.643536,8,Neutron,54
18990,Gati fuko,Hoka defu,25.22153915214086,#B8AB08,246364217.30095157,7.617752,13,Red Dwarf,7
18992,Lace rogu,Hanu lisa,29.752636115522453,#A18CDC,4472568786.461846,50.303524,15,Giant,50
18993,Xopa yici,Yowe weza,35.922204329849095,#560F06,8420022644.850554,52.93991,8,Neutron,52
18995,Fiyo jofe,Hesi xufa,7.423856076587208,#70AAFC,4909874678.066611,76.51627,14,Supergiant,76
19000,Quve filo,Vapu muxo,26.070869115213938,#425839,10519948320.148718,69.5952,7,Neutron,69
19003,Puxu nugo,Soyi kasi,16.885825922892074,#71DF10,2899214764.028641,88.04486,0,Red Dwarf,88
19005,Zaya pade,Wosa hake,39.08216581784656,#4904BB,7189740821.027802,10.893687,12,Supergiant,10
19017,Nati kovo,Bowa jaha,44.6918998539275,#6CC361,5494414801.276471,41.028,8,Red Dwarf,41
19020,Mexa nayo,Quwi higi,14.249259921898773,#9FD3E4,1036918384.7948518,35.181293,12,Giant,35
19023,Foqu peza,Kugi kimi,43.48132943399136,#8420EA,3391418375.04058,41.83631,0,White Dwarf,41
19027,Gawo rexa,Luzi tota,9.978317154510727,#138AB2,7012274193.932714,66.80621,3,Red Dwarf,66
19029,Wuyo pope,Puro yibe,18.9566170389031,#D698EF,2879044749.339107,39.701492,12,Giant,39
19033,Zupe vexi,Lide hamo,46.52437249278324,#A0D2CB,8444661908.944396,66.31736,16,Giant,66
19037,Dopu pemu,Vihi nali,23.71363443361972,#0F2AB1,992369110.0761478,67.76989,0,Giant,67
19040,Cuku waja,Yede wami,30.212475526896124,#D74DAA,3181048481.9908624,16.30361,8,Red Dwarf,16
19042,Tame reqa,Muwi nodu,7.563604461187549,#69F1BB,11422711961.514385,17.702148,17,Main Sequence,17
19043,Doyi vifo,Waga riva,48.47524780351746,#8B0F85,9870002314.505495,24.542643,9,Giant,24
19046,Nura nina,Fasi wasu,39.86891198091551,#3697CE,1782058551.4823024,61.566326,19,Red Dwarf,61
19051,Mose duvu,Koda juxi,16.919022925207397,#1D0F4A,4685292640.5571785,85.634026,1,White Dwarf,85
19062,Fizo hopo,Siju pemi,6.667674089900901,#044E5B,9318554988.126213,71.90771,4,White Dwarf,71
19064,Homa rito,Sebe nuja,15.654212074676508,#02CE28,8069056429.337034,72.77492,1,Supergiant,72
19068,Rote ruba,Timo hovi,47.52282741023875,#B6255F,7143679345.056151,28.932556,10,Supergiant,28
19076,Qiwe cazo,Xuwo nono,3.241345904057937,#11A490,1482086996.7297063,58.155422,11,Main Sequence,58
19084,Goqi zofa,Depa pagi,37.67494672218254,#B1B214,12820023457.984287,19.269922,14,Main Sequence,19
19086,Huwo sawe,Huka duqi,36.96902995854096,#DEA9C5,7221350936.862225,54.51251,11,Main Sequence,54
19098,Naca huto,Jiro ravo,36.30410246497632,#F582FA,4952976121.593075,66.79409,15,Supergiant,66
19101,Qoxa tuzo,Lepu coyi,48.22149066806396,#904E1C,10352405157.630936,96.54078,6,Giant,96
19104,Juqi faqu,Saru bebe,7.962240085735291,#2857EB,6318161848.291236,94.369865,19,Neutron,94
19106,Hejo vuko,Xigi dagu,49.42745456901549,#3F5584,8272934680.880562,26.822996,18,Neutron,26
19114,Vefo gave,Jiha sano,47.67584418103162,#17F054,7021582098.793262,1.2373824,10,Giant,1
19115,Yule zoli,Yeke tafa,40.41544286136679,#04FB9F,1083361274.2288563,95.38698,16,Giant,95
19120,Juqo todo,Tiba xawo,1.0182813961608939,#ED3389,7956157693.7032995,59.94114,5,Supergiant,59
19121,Kezu nulu,Hine zeri,18.929631638409383,#20136B,12481803317.32571,86.48955,12,Supergiant,86
19127,Xaka doho,Dawu fege,37.58142379146732,#5C1F0C,3950180356.1531353,21.20613,15,White Dwarf,21
19129,Hefe gigi,Lepa xogu,23.642046900514295,#C74EDA,2016475754.6876957,48.912712,15,Giant,48
19132,Seya kire,Liri mece,48.322466989512854,#798084,9383820052.404947,55.394203,10,Supergiant,55
19145,Pufi jure,Yala pesu,31.875917523083285,#A9830B,8147826729.946334,49.02732,19,Supergiant,49
19148,Duvo cuwi,Gahi deno,12.168983101184224,#80B387,6798190256.030211,17.527021,8,Neutron,17
19154,Foha pema,Rubu diwe,7.691582732021683,#C0AC61,11515921374.830969,99.926575,16,Red Dwarf,99
19157,Yaje reya,Qemu faqe,47.74776570175171,#90B1B0,12358215991.570986,4.487932,2,Supergiant,4
19158,Timi cuti,Raxu geha,25.99267030707102,#B2AA2C,11961491178.217068,60.307816,13,White Dwarf,60
19165,Gire fofi,Qina wido,36.086815098140484,#0FDA13,4303220783.427658,91.02873,16,Red Dwarf,91
19166,Lofa neba,Neye duni,19.6492621818495,#35B5F3,2582567169.6429296,27.865768,11,Main Sequence,27
19168,Yusi jaya,Rove wulu,16.075883866698305,#AE63AF,7362898764.165448,43.398865,6,Supergiant,43
19169,Kodu xaju,Kewo wowe,43.810742019370636,#616599,9387497366.251238,41.06016,10,Neutron,41
19173,Lati joka,Joqu fadi,46.77369212201578,#D011C1,7485347183.752514,48.02154,6,Red Dwarf,48
19175,Pixo quqi,Ceca lawa,5.783470669570005,#C96025,6463754762.415789,84.685234,0,White Dwarf,84
19176,Cuqu siru,Kiza kepe,29.64775237502106,#DCCF2A,9402766839.228312,60.093796,8,Red Dwarf,60
19178,Bohu viza,Boli quso,33.95390727645073,#B7479E,8986486745.726015,17.470694,6,Main Sequence,17
19181,Gehe litu,Xisi fisa,18.02552962917986,#B8FEFF,8772667532.022509,66.03336,7,Supergiant,66
19189,Miso ruci,Camu kupu,8.43366148939262,#1BF513,12959746487.279123,50.860928,0,Neutron,50
19203,Sowu tume,Nama pana,19.568870242647343,#5B2B7C,1531126286.00228,8.644932,7,Giant,8
19207,Meqi yabi,Feho veni,42.28018871241713,#533D04,5829564486.95294,78.51217,7,Neutron,78
19210,Meqi noze,Ruwa mifo,46.46576035915752,#1556B3,8830294681.762693,25.197643,10,Red Dwarf,25
19214,Cave caga,Kuna peme,25.816068757983885,#8F7619,6717717882.874781,2.4772391,19,Giant,2
19218,Nozi yino,Codi nedo,34.853572566788806,#53276B,10465723794.557175,87.00632,13,Supergiant,87
19219,Divo laba,Luhi zeya,46.13130624193436,#A3A4EA,4876391246.363361,26.714354,17,Supergiant,26
19220,Dige telo,Recu huqa,45.98603441225513,#109D20,9557991645.470234,45.170616,5,Main Sequence,45
19222,Buwu fali,Yecu fofa,36.76428046667931,#1FB514,4723088451.491223,58.247177,19,Giant,58
19228,Lizi koko,Fosi vumu,48.9639159158627,#C5DA1F,5218511786.50136,5.248721,6,Neutron,5
19233,Numa dike,Jedi rati,15.138670192927314,#848DB0,7015271481.480285,25.172625,14,Red Dwarf,25
19249,Pefo deco,Raqo himu,33.2334615134847,#AE2949,10181675630.696754,84.251434,12,White Dwarf,84
19253,Yoli yuwa,Bexe boke,37.657346887093794,#83DAA6,6399459917.662462,16.148102,6,White Dwarf,16
19254,Dihi geha,Luci muda,33.98840304617836,#7CE628,4652609661.601094,77.220024,7,Red Dwarf,77
19261,Mica nofu,Qole hahu,1.2605250345599808,#4A8A17,5285032110.708966,77.92719,3,Supergiant,77
19263,Vapo cime,Pufe fete,3.3729699918585316,#4DC61A,11603107010.229586,26.171896,9,White Dwarf,26
19268,Jewu yuke,Gunu faxe,48.95103743962227,#CD37A4,4378969103.526619,58.72775,0,Red Dwarf,58
19269,Pefa lino,Sita dena,16.640401009933406,#32A452,8409324804.07718,26.55259,6,Red Dwarf,26
19273,Xiti buto,Tefa lako,24.28877504544066,#88F0C9,5937834467.448587,39.790035,10,Red Dwarf,39
19277,Sume tila,Doqa lose,46.74861731122366,#354C87,5993695155.412332,65.84463,4,Red Dwarf,65
19280,Leza vafu,Gitu vuyu,18.954576631141272,#284616,5716611624.716244,68.785835,9,Main Sequence,68
19284,Wupu qete,Rize baqa,39.188701336890425,#38D130,11162225107.527424,8.380943,11,Neutron,8
19285,Lego zuja,Foge kucu,18.898979898461196,#F3E005,4487104219.842668,50.21512,15,Giant,50
19286,Zadu paba,Yoho kogu,45.83930575224558,#1C1BCF,6143580006.531725,43.137768,7,Neutron,43
19287,Boro yiba,Duje sesu,7.128777856245689,#182ED1,9908101315.051249,11.271238,6,Supergiant,11
19289,Vaho xobi,Vure rewu,48.6077478350794,#AA7DE6,10462194896.086142,29.734913,1,Supergiant,29
19290,Cica zijo,Sime qiza,27.13749272576439,#ADA1D0,5916200647.965187,20.774944,8,Red Dwarf,20
19293,Sudi palu,Gura yapu,31.876254859923105,#FE758A,11297297278.427542,65.72726,9,Neutron,65
19301,Jaxu mozo,Loso bufo,31.044196274540106,#B6C99E,5233439689.38523,13.879669,13,Giant,13
19310,Leha heyu,Yure zuxi,24.187947817989564,#6471C9,6565822286.236606,99.51281,12,Main Sequence,99
19311,Poni luke,Finu royi,19.535872266248884,#E26DD3,10266466866.589903,16.34592,1,Supergiant,16
19314,Faja kepe,Sake deda,34.21068399534092,#124D9D,4842308673.094177,46.668713,14,Main Sequence,46
19318,Geza xulu,Coso jaho,21.879363923808622,#246804,3437607244.319028,20.533377,16,White Dwarf,20
19319,Quqi febe,Yeve yako,20.72042613946415,#4E739D,2485186498.658975,40.76758,16,Neutron,40
19327,Tico mago,Cuke rovu,43.8124617826648,#CCAE6A,179426825.65963233,70.71503,7,Supergiant,70
19336,Milo regi,Yomu zebe,5.849403702634461,#E477C5,5403805919.254027,6.4801555,9,White Dwarf,6
19343,Wixo jaci,Powo vajo,35.87833923194644,#EA2FCB,1788300989.626736,0.691743,7,Neutron,0
19344,Diti xuna,Fifo wixu,18.330321934471897,#89F26E,2841420360.837083,60.819,12,Neutron,60
19346,Puha melu,Cisu sije,43.72144241719457,#67B350,7226035949.002801,64.46072,8,Red Dwarf,64
19352,Dano fafa,Ruco lose,30.524071180555005,#3008F0,1277433847.591821,59.942394,12,White Dwarf,59
19353,Xiti yamu,Loxe jeja,18.01488146858804,#9778B4,1787313154.192284,44.078823,12,Supergiant,44
19356,Bacu wira,Cowa yowe,36.199521521420515,#3DE9D2,8027374641.425912,82.17439,4,Giant,82
19357,Seqa mido,Rure lapu,9.455340131182767,#CB4FBE,3517814380.594086,11.627421,9,Giant,11
19358,Gebu havo,Qiyu buwu,42.80382220905394,#649D68,2586873453.3658614,63.45184,10,Main Sequence,63
19359,Keyu zovu,Soko neru,17.132972056401655,#FB98D2,839017090.3517625,21.328785,18,Neutron,21
19360,Yiti beco,Hifo wudu,25.222419590454287,#4400A8,3959377179.460898,95.44165,13,Giant,95
19373,Kice muhu,Dime nura,5.3368306001783266,#F1E910,5957141683.153666,17.365171,16,White Dwarf,17
19374,Ceno xivi,Baba fefi,25.877841833167324,#3F5F2B,9533671363.699543,10.528875,9,White Dwarf,10
19378,Nice bike,Beja geso,21.226040608424594,#32DD79,6268118577.655107,31.390358,9,Neutron,31
19387,Doce limi,Wosi wica,6.0848134457188365,#1AE7E0,935668949.2422091,56.327526,0,White Dwarf,56
19389,Nida gize,Riyo jexe,45.643717781913665,#B5C3ED,4804644752.025332,13.751089,19,Supergiant,13
19392,Neya kazi,Ciwi tezu,39.38999461308706,#6AC7E4,1578814218.0576499,26.737093,2,Red Dwarf,26
19394,Nati tijo,Fuma culi,17.282455893983805,#339B25,7710170187.925836,5.571035,19,Giant,5
19396,Fece gise,Tiwe kesu,23.694112482777275,#AC24CB,3378376005.7134256,81.24767,19,Red Dwarf,81
19398,Movu zumo,Vuru duji,20.278196053205118,#491B5D,1505857975.4902763,59.242943,9,Supergiant,59
19400,Deqe vibe,Zuhi kude,46.9799628373779,#37CA66,8331474670.137107,5.5413456,1,Supergiant,5
19408,Boci nizu,Gega roko,36.924682740824544,#B18634,2717166251.8021803,20.48766,7,Main Sequence,20
19412,Vuga yotu,Gumo soqi,14.265695555909504,#6300E5,4295616871.6736965,83.9925,0,Neutron,83
19416,Pata puze,Bexe ruyu,26.511394402259853,#F9A858,10063684742.828932,66.8428,16,Supergiant,66
19418,Keru jiti,Nimo kake,21.852690089710094,#6FE1FD,3419610744.7157307,36.71288,17,Giant,36
19419,Gemi rebi,Tabo hesi,25.122676509726055,#41BB9B,8803620787.718334,59.627136,14,Giant,59
19429,Fate wifi,Yusi qova,36.28835785961472,#C65EB2,963244473.5887818,27.65481,13,Supergiant,27
19432,Sudu noye,Sevu kizi,12.391270478938237,#78B570,1658698129.1241417,93.96527,15,Neutron,93
19434,Tova fodo,Dexu pibu,32.82311497763035,#9B9083,5539648255.971235,47.57795,10,Supergiant,47
19447,Gexa varu,Bala sezu,15.105956542487627,#FB26B4,5661385620.40052,47.911335,15,White Dwarf,47
19450,Xowu fuyo,Qavu zece,33.585094070344404,#C2CFE1,12054546747.963482,61.855015,7,Main Sequence,61
19455,Davu juze,Diro meya,11.606798644567728,#5F5B9B,8966860735.761919,45.016582,1,Red Dwarf,45
19458,Xeti faji,Piru toju,23.07815278875519,#7D50AC,4657328529.79517,12.367905,10,Giant,12
19463,Poti baqu,Zeci wopa,10.761500800995721,#E9E260,8460590621.924181,52.844097,1,Red Dwarf,52
19464,Vono xicu,Zihe quwa,0.9067902872753876,#A885F7,6149552418.559314,6.2388134,4,Red Dwarf,6
19466,Jofe deko,Fefa wofu,40.64098543197811,#76D06B,4814270935.340434,17.575226,16,Red Dwarf,17
19469,Sine texi,Soxa cozo,14.243787452539944,#8F1FFB,8069682945.145538,41.442917,14,Supergiant,41
19471,Kade puzo,Cixa wusa,19.51547764167076,#A84A5B,437824519.7231123,81.52065,3,Supergiant,81
19473,Lowu jega,Riza loli,23.52861395721511,#0A31DF,6477965331.368161,26.64935,18,Neutron,26
19474,Velo fepu,Nafe zaki,23.87057182776337,#B7F050,3663157216.682598,38.820557,18,Main Sequence,38
19475,Deni kide,Qopo wota,2.7379911736733913,#2B9D00,2467255750.2248235,86.109665,7,Neutron,86
19493,Pamu liyo,Gipa page,41.668240887526565,#F8B31F,8580976294.659026,34.56765,14,Giant,34
19495,Cami qupa,Loyu heho,31.330296125021867,#16A621,12229435647.479223,98.522514,5,Red Dwarf,98
19504,Siqi dedo,Zori riha,47.36182967990353,#D4E1F6,2351728984.754789,29.666315,17,Neutron,29
19519,Gudu xoxe,Ruvu roqa,8.347098628858582,#50F438,11713867527.580101,15.491147,18,Giant,15
19523,Kako fude,Yudi nage,12.41581094957359,#4F7CCF,1697805816.984581,56.299976,7,White Dwarf,56
19524,Feqo pahe,Zuva moge,43.303455496754985,#DD0C06,7174101923.209333,31.704836,9,White Dwarf,31
19529,Wuyo veyu,Kapu jaku,33.39479174744934,#0B2E78,9806253869.325607,11.807999,4,Supergiant,11
19533,Goto zeci,Bobo giki,32.04457856725285,#FA2F00,11435385144.76429,13.173448,1,Main Sequence,13
19534,Dide paxe,Kolu gida,19.254394915639434,#DED215,5956942190.84412,31.897297,3,Giant,31
19535,Yugu rami,Here wube,8.022551563489623,#335A95,6644314594.306,24.572454,15,White Dwarf,24
19542,Soki baje,Fezo yise,14.834577357800109,#C763EA,2289827987.799796,32.295906,13,White Dwarf,32
19548,Buqe jipi,Vuna kebu,5.864758590188525,#AC65C9,12842487716.75503,26.026445,6,White Dwarf,26
19550,Nexa refi,Soyo lilu,13.042998280141097,#350C00,292979468.69952196,12.688741,13,Neutron,12
19562,Veti becu,Wapu lihi,40.50513758511438,#59C640,7432043791.944226,70.11984,6,Supergiant,70
19563,Govi lufi,Lisu fuge,30.801925038251255,#E4F0AC,4798870795.227129,62.26396,16,Neutron,62
19568,Xedi suqe,Vola cevu,5.488345173523928,#D7DE6F,1462102091.5536098,76.41213,16,Red Dwarf,76
19569,Saho pako,Sevi xeni,3.7236016464490054,#2D422E,10542451527.222702,36.75998,17,Red Dwarf,36
19570,Kegi feli,Mafu wawe,3.870569898714598,#16751E,10073599915.235176,7.776598,0,Giant,7
19580,Kahi ciqe,Mice cono,8.197202942260791,#34B486,1951151455.3340833,40.943012,3,Supergiant,40
19581,Vixu bepa,Pidu viyu,44.25596366816864,#7FEA80,6788256022.95169,80.89156,0,Supergiant,80
19583,Kefu xabu,Kaye wesa,23.597671730016692,#2A5954,11740120210.478199,14.29407,9,White Dwarf,14
19585,Nore qibu,Vore kelo,2.8948783374829343,#C23CD9,10871201880.465248,75.913284,5,White Dwarf,75
19586,Duxa kizi,Cowo kabi,20.512219606680766,#99311F,10147534545.34263,70.567184,9,White Dwarf,70
19594,Xidi dupa,Bapu gaze,37.08865026935072,#57E3AD,33747703.47039333,44.21691,14,White Dwarf,44
19602,Dafa zevi,Gexa duca,3.3567084710982193,#DB4C45,349047180.6939774,88.451256,13,White Dwarf,88
19603,Bexu deqa,Weme jaze,42.16019958512338,#4CC5AF,7082653746.840565,9.207573,10,Main Sequence,9
